1. novembra,,zvezdara,beograd,beograd,2018/119
11. novembra,,mladenovac,mladenovac (varoŠ),mladenovac (varoŠ),
15. februara,,mladenovac,meĐuluŽje,meĐuluŽje,
15. februara,,zvezdara,beograd,bg-m m lug,2018/119
16. aprila,,mladenovac,meĐuluŽje,meĐuluŽje,
16. aprila,,palilula,beograd,ovČa,2019/013
19. aprila,,rakovica,beograd,beograd,
20. oktobra,,mladenovac,mladenovac (varoŠ),mladenovac (varoŠ),
28. juna,mokroluŠka nova,voŽdovac,beograd,beograd,2018/119
30.maja,,novi beograd,beograd,beograd,2019/066
5. novembra,,zemun,beograd,bg-zemun,
63. padobranske brigade,,palilula,borČa,borČa,2019/013
abadŽijska,panatinska,Čukarica,sremČica,sremČica,2006/024
abebe bikile,altina nova  2,zemun,beograd,bg-zemun,2004/005
aberdareva,,lazarevac,vrbovno,vrbovno,
aberdareva,,palilula,beograd,beograd,
ace joksimoviĆa,,Čukarica,beograd,bg-Žarkovo,
ace nikoliĆa,,Čukarica,ostruŽnica,ostruŽnica,
ace petroviĆa,,obrenovac,misloĐin,misloĐin,
ace popoviĆa,,obrenovac,misloĐin,misloĐin,
ace simiĆa,,rakovica,beograd,beograd,
ace trickoviĆa,dubrovaČka,Čukarica,sremČica,sremČica,2006/024
aĆimoviĆa sokak,,lazarevac,lazarevac,lazarevac,
ada ciganlija,,Čukarica,beograd,beograd,
ada ciganlija-kamp partizan,,Čukarica,beograd,beograd,
ada huja,,palilula,beograd,beograd,
ada huja-ostrvo,,palilula,beograd,beograd,
adama bogosavljeviĆa,,novi beograd,beograd,bg-n beograd,
adama jovanoviĆa,,mladenovac,granice,granice,2019/066
adama pribiĆeviĆa,busije nova 16,zemun,ugrinovci,ugrinovci,2008/002
adama spiŠiĆa,,surČin,surČin,surČin,
adamoviĆeva ulica,,mladenovac,pruŽatovac,pruŽatovac,
ade kale,,palilula,borČa,borČa,2019/013
adelungova ulica,,barajevo,guncati,guncati,2019/067
adice,,surČin,petrovČiĆ,petrovČiĆ,
admirala geprata,,savski venac,beograd,beograd,
admirala vukoviĆa,,voŽdovac,beograd,beograd,
admiralska ulica,,zemun,beograd,bg-zemun,
admiralska,,lazarevac,mirosaljci,mirosaljci,
aĐutantska ulica,,zemun,beograd,bg-zemun,
adŽine livade,,rakovica,beograd,beograd,
aerodrom beograd,,surČin,surČin,surČin,
aerodromska,,zemun,beograd,bg-batajnica,
aerodromski put,,surČin,surČin,surČin,
afi ekong,,Čukarica,velika moŠtanica,velika moŠtanica,
agaruŠka ulica,,rakovica,beograd,beograd,
agate kristi,,palilula,beograd,bg-krnjaČa,2019/013
agiĆa sokak,nova 93,mladenovac,kovaČevac,kovaČevac,2005/027
ahmeda ademoviĆa,orlovska 5 sokaČe,zvezdara,beograd,bg-mirijevo,2004/005
ajdanovaČka ulica,,zemun,beograd,bg-zemun,
ajduČki bunar,,lazarevac,baroŠevac,baroŠevac,
ajdukovac,,lazarevac,baroŠevac,baroŠevac,
ajnovaČka,beogradska 4 deo 16 prilaz,Čukarica,sremČica,sremČica,2005/008
ajzenŠtajnova,,Čukarica,beograd,bg-Žarkovo,
akademika mihaila markoviĆa,,zvezdara,beograd,beograd,2018/119
akademika petra stevanoviĆa,,barajevo,boŽdarevac,boŽdarevac,2019/067
akademika petra stevanoviĆa,,barajevo,veliki borak,veliki borak,
akademika petra stevanoviĆa,beogradskog bataljona,barajevo,baĆevac,baĆevac,2015/049
akademska,,obrenovac,stubline,stubline,
akademska,,zemun,beograd,bg-zemun,
akademski plato,,stari grad,beograd,beograd,
akira kurosave,altina nova 27,zemun,beograd,bg-zemun,2004/005
akrobate aleksiĆa,kamendin nova 7,zemun,beograd,bg-zemun,2004/005
aksentija miladinoviĆa,,lazarevac,Čibutkovica,Čibutkovica,
aksentija miladinoviĆa,,lazarevac,lazarevac,lazarevac,
aksentijeviĆeva,,obrenovac,zveČka,zveČka,
alana tjuringa,,rakovica,beograd,beograd,
alanovica,,obrenovac,grabovac,grabovac,
alaska,,zemun,beograd,bg-zemun,
albanska,,zemun,beograd,bg-zemun,
albanske spomenice,,palilula,beograd,beograd,
albera kamija,,palilula,beograd,bg-krnjaČa,2019/013
alberta ajnŠtajna,,palilula,beograd,bg-viŠnjica,
alberta vajsa,,zvezdara,beograd,bg-v m lug,2018/119
albrehta direra,,novi beograd,beograd,bg-n beograd,
aleksandra bajina,,palilula,borČa,borČa,2019/013
aleksandra bakoČeviĆa,,barajevo,guncati,guncati,2019/067
aleksandra beliĆa,,lazarevac,lazarevac,lazarevac,
aleksandra beliĆa,,zvezdara,beograd,bg-mirijevo,
aleksandra borodina,,novi beograd,beograd,beograd,2019/066
aleksandra bugarskog,,zvezdara,beograd,bg-mirijevo,
aleksandra deroka,,zvezdara,beograd,beograd,
aleksandra dime,,palilula,beograd,bg-krnjaČa,2019/013
aleksandra ĐokiĆa,,novi beograd,beograd,beograd,2019/066
aleksandra ĐorĐeviĆa,,Čukarica,beograd,bg-Žarkovo,2019/013
aleksandra dubČeka,tvorniČka,zemun,beograd,bg-zemun,2004/002
aleksandra fleminga,,palilula,beograd,beograd,
aleksandra gavriĆa,,zemun,beograd,bg-zemun,
aleksandra gliŠiĆa,,savski venac,beograd,beograd,
aleksandra iliĆa,,barajevo,lisoviĆ,lisoviĆ,2019/067
aleksandra krona,,Čukarica,umka,umka,
aleksandra krstiĆa,,Čukarica,sremČica,sremČica,
aleksandra makedonskog,,zemun,beograd,bg-zemun,
aleksandra miloviĆa,,Čukarica,velika moŠtanica,velika moŠtanica,
aleksandra mladenoviĆa,,Čukarica,ostruŽnica,ostruŽnica,
aleksandra nenadoviĆa,,voŽdovac,pinosava,pinosava,2018/119
aleksandra nevskog,,obrenovac,stubline,stubline,
aleksandra nevskog,,rakovica,beograd,beograd,
aleksandra nikoliĆa,,lazarevac,lazarevac,lazarevac,
aleksandra nikoliĆa,,palilula,borČa,borČa,2019/013
aleksandra nikoliĆa,,sopot,rogaČa,rogaČa,
aleksandra pavloviĆa,,zemun,beograd,bg-zemun,
aleksandra petroviĆa,altina nova 29,zemun,beograd,bg-zemun,2004/005
aleksandra popoviĆa,altina nova 21,zemun,beograd,bg-zemun,2004/005
aleksandra radosavljeviĆa,,barajevo,lisoviĆ,lisoviĆ,2019/067
aleksandra sandiĆa,,mladenovac,kovaČevac,kovaČevac,
aleksandra sandiĆa,,obrenovac,bariČ,bariČ,2019/064
aleksandra sandiĆa,,palilula,beograd,bg-krnjaČa,2019/013
aleksandra saŠe petroviĆa,,sopot,sopot,sopot,
aleksandra simiĆa,,obrenovac,stubline,stubline,
aleksandra solŽenjicina,,obrenovac,brgulice,brgulice,
aleksandra solŽenjicina,,obrenovac,ratari,ratari,
aleksandra solŽenjicina,,rakovica,beograd,beograd,
aleksandra stamboliskog,,savski venac,beograd,beograd,
aleksandra stojanoviĆa,,zemun,beograd,bg-zemun,
aleksandra stojkoviĆa,,mladenovac,velika krsna,velika krsna,
aleksandra sunturliĆa,,voŽdovac,beograd,bg-jajinci,2018/119
aleksandra tijaniĆa,,novi beograd,beograd,beograd,2020/138
aleksandra tirnaniĆa tirketa,,lazarevac,ŠopiĆ,ŠopiĆ,
